Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
263,Teen Spirit,"$1,573,601","$441,366",28%,"$1,132,235",72%,2019.csv,2019
264,The Kid,"$1,553,483","$1,508,593",97.1%,"$44,890",2.9%,2019.csv,2019
265,Tel Aviv on Fire,"$1,548,893","$506,145",32.7%,"$1,042,748",67.3%,2019.csv,2019
266,The Chaperone,"$1,541,223","$600,654",39%,"$940,569",61%,2019.csv,2019
267,Monos,"$1,534,584","$406,473",26.5%,"$1,128,111",73.5%,2019.csv,2019
268,De De Pyaar De,"$1,473,116","$425,934",28.9%,"$1,047,182",71.1%,2019.csv,2019
269,It 2019 Re-release,"$1,414,696","$1,347,126",95.2%,"$67,570",4.8%,2019.csv,2019
270,El Chicano,"$1,404,646","$1,400,603",99.7%,"$4,043",0.3%,2019.csv,2019
271,For Sama,"$1,374,201","$43,796",3.2%,"$1,330,405",96.8%,2019.csv,2019
272,Alien 2019 Re-release,"$1,356,259","$833,658",61.5%,"$522,601",38.5%,2019.csv,2019
273,Roger Waters - Us + Them,"$1,294,480","$611,644",47.3%,"$682,836",52.7%,2019.csv,2019
274,Fagara,"$1,265,949","$43,417",3.4%,"$1,222,532",96.6%,2019.csv,2019
275,Batla House,"$1,264,337","$493,180",39%,"$771,157",61%,2019.csv,2019
276,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552","$1,226,552",100%,-,-,2019.csv,2019
277,Kingdom Men Rising,"$1,188,936","$1,188,936",100%,-,-,2019.csv,2019
278,Los Domirriqueños 2,"$1,187,280","$1,187,280",100%,-,-,2019.csv,2019
279,National Theater Live: Cyrano de Bergerac,"$1,173,512","$86,300",7.4%,"$1,087,212",92.6%,2019.csv,2019
280,Honeyland,"$1,140,879","$815,082",71.4%,"$325,797",28.6%,2019.csv,2019
281,The Song of Names,"$1,138,700","$1,077,584",94.6%,"$61,116",5.4%,2019.csv,2019
282,My Neighbor Totoro 2019 Re-release,"$1,105,564","$1,105,564",100%,-,-,2019.csv,2019
283,El Coyote,"$1,101,470","$1,101,470",100%,-,-,2019.csv,2019
284,The Goonies 2019 Re-release,"$1,089,463","$864,378",79.3%,"$225,085",20.7%,2019.csv,2019
285,The Sky Is Pink,"$1,088,641","$652,592",59.9%,"$436,049",40.1%,2019.csv,2019
286,Jesus Is King,"$1,082,629","$973,000",89.9%,"$109,629",10.1%,2019.csv,2019
287,Mystify: Michael Hutchence,"$1,082,456","$289,573",26.8%,"$792,883",73.2%,2019.csv,2019
288,Bennett's War,"$1,056,416","$1,056,416",100%,-,-,2019.csv,2019
289,Noah: The Musical,"$1,035,603","$1,035,603",100%,-,-,2019.csv,2019
290,Cold Blood,"$1,009,888","$5,083",0.5%,"$1,004,805",99.5%,2019.csv,2019
291,Kiki's Delivery Service 2019 Re-release,"$1,004,057","$1,004,057",100%,-,-,2019.csv,2019
292,Photograph,"$996,171","$344,534",34.6%,"$651,637",65.4%,2019.csv,2019
293,Miles Davis: Birth of the Cool,"$984,499","$614,201",62.4%,"$370,298",37.6%,2019.csv,2019
294,Rush: Cinema Strangiato 2019,"$960,073","$960,073",100%,-,-,2019.csv,2019
295,The Fighting Preacher,"$954,641","$954,641",100%,-,-,2019.csv,2019
296,Toni Morrison: The Pieces I Am,"$927,495","$903,018",97.4%,"$24,477",2.6%,2019.csv,2019
297,The Hummingbird Project,"$899,037","$371,784",41.4%,"$527,253",58.6%,2019.csv,2019
298,The Game Changers,"$897,992","$739,711",82.4%,"$158,281",17.6%,2019.csv,2019
299,Between Me and My Mind,"$875,191","$875,191",100%,-,-,2019.csv,2019
300,Howl's Moving Castle 2019 Re-release,"$865,647","$865,647",100%,-,-,2019.csv,2019
301,The Nightingale,"$855,756","$400,209",46.8%,"$455,547",53.2%,2019.csv,2019
302,Steel Magnolias 2019 Re-release,"$855,421","$855,421",100%,-,-,2019.csv,2019
303,The Whistlers,"$833,602","$55,608",6.7%,"$777,994",93.3%,2019.csv,2019
304,Vita & Virginia,"$815,419","$42,741",5.2%,"$772,678",94.8%,2019.csv,2019
305,Joni 75: A Birthday Celebration,"$808,831","$752,205",93%,"$56,626",7%,2019.csv,2019
306,Chonda Pierce: Unashamed,"$787,979","$787,979",100%,-,-,2019.csv,2019
307,The Church,"$772,000","$772,000",100%,-,-,2019.csv,2019
308,DanTDM Presents The Contest,"$765,363","$307,484",40.2%,"$457,879",59.8%,2019.csv,2019
309,Patterns of Evidence: Moses Controversy,"$765,361","$765,361",100%,-,-,2019.csv,2019
310,I Love Lucy: A Colorized Celebration,"$754,323","$754,323",100%,-,-,2019.csv,2019
311,David Crosby: Remember My Name,"$732,793","$732,793",100%,-,-,2019.csv,2019
312,Aquarela,"$725,269","$307,346",42.4%,"$417,923",57.6%,2019.csv,2019
313,Where's My Roy Cohn?,"$722,603","$705,274",97.6%,"$17,329",2.4%,2019.csv,2019
314,Frankie,"$695,680","$171,781",24.7%,"$523,899",75.3%,2019.csv,2019
315,The Least of These: The Graham Staines Story,"$695,164","$607,015",87.3%,"$88,149",12.7%,2019.csv,2019
316,Raise Hell: The Life & Times of Molly Ivins,"$694,410","$694,410",100%,-,-,2019.csv,2019
317,Romeo Akbar Walter,"$688,719","$236,299",34.3%,"$452,420",65.7%,2019.csv,2019
318,Bethany Hamilton: Unstoppable,"$684,078","$590,671",86.3%,"$93,407",13.7%,2019.csv,2019
319,Stockholm,"$665,527","$292,590",44%,"$372,937",56%,2019.csv,2019
320,The Public,"$644,740","$573,503",89%,"$71,237",11%,2019.csv,2019
321,Seberg,"$640,804","$434,702",67.8%,"$206,102",32.2%,2019.csv,2019
322,Asako I & II,"$627,102","$25,559",4.1%,"$601,543",95.9%,2019.csv,2019
323,Give Me Liberty,"$624,152","$242,734",38.9%,"$381,418",61.1%,2019.csv,2019
324,Nancy Drew and the Hidden Staircase,"$623,088","$623,088",100%,-,-,2019.csv,2019
325,Dirty Dancing 2019 Re-release,"$622,968","$622,968",100%,-,-,2019.csv,2019
326,Synonyms,"$615,592","$206,003",33.5%,"$409,589",66.5%,2019.csv,2019
327,Killerman,"$614,366","$291,477",47.4%,"$322,889",52.6%,2019.csv,2019
328,The Muppet Movie 2019 Re-release,"$610,475","$610,475",100%,-,-,2019.csv,2019
329,The Golden Glove,"$604,147","$6,160",1%,"$597,987",99%,2019.csv,2019
330,To Kill a Mockingbird 2019 Re-release,"$592,237","$592,237",100%,-,-,2019.csv,2019
331,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904","$378,405",63.9%,"$213,499",36.1%,2019.csv,2019
332,The Wonderland,"$591,857","$50,876",8.6%,"$540,981",91.4%,2019.csv,2019
333,The Painted Bird,"$573,850",-,-,"$573,850",100%,2019.csv,2019
334,My Fair Lady 2019 Re-release,"$560,711","$560,711",100%,-,-,2019.csv,2019
335,Fiddler: A Miracle of Miracles,"$558,816","$549,386",98.3%,"$9,430",1.7%,2019.csv,2019
336,Light of My Life,"$547,161","$20,056",3.7%,"$527,105",96.3%,2019.csv,2019
337,"DCI 2019: Big, Loud & Live 16","$546,060","$546,060",100%,-,-,2019.csv,2019
338,The Day Shall Come,"$543,993","$26,972",5%,"$517,021",95%,2019.csv,2019
339,Grateful Dead Meet-Up 2019,"$537,153","$537,153",100%,-,-,2019.csv,2019
340,CatVideoFest,"$536,566","$470,923",87.8%,"$65,643",12.2%,2019.csv,2019
341,Margaret Atwood: Live in Cinemas,"$529,285","$93,690",17.7%,"$435,595",82.3%,2019.csv,2019
342,The Audience 2019 Re-release,"$523,432","$106,529",20.4%,"$416,903",79.6%,2019.csv,2019
343,The Spy Behind Home Plate,"$519,525","$519,525",100%,-,-,2019.csv,2019
344,Wild Nights with Emily,"$519,487","$519,487",100%,-,-,2019.csv,2019
345,Bolshoi Ballet: Carmen Suite/Petrushka,"$510,628","$207,523",40.6%,"$303,105",59.4%,2019.csv,2019
346,Saving Private Ryan 2019 Re-release,"$508,694","$508,694",100%,-,-,2019.csv,2019
347,Whisper of the Heart 2019 Re-release,"$498,156","$498,156",100%,-,-,2019.csv,2019
348,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770","$495,770",100%,-,-,2019.csv,2019
349,Monty Python's Life of Brian 2019 Re-release,"$493,822","$161,507",32.7%,"$332,315",67.3%,2019.csv,2019
350,The Russian Five,"$485,049","$485,049",100%,-,-,2019.csv,2019
351,Lawrence of Arabia 2019 Re-release,"$482,281","$482,281",100%,-,-,2019.csv,2019
352,Liam Gallagher: As It Was,"$477,009",-,-,"$477,009",100%,2019.csv,2019
353,Hail Satan?,"$467,232","$424,284",90.8%,"$42,948",9.2%,2019.csv,2019
354,Christmas Jars,"$459,462","$459,462",100%,-,-,2019.csv,2019
355,Cruel Intentions 2019 Re-release,"$445,218","$445,218",100%,-,-,2019.csv,2019
356,What We Left Behind: Star Trek DS9,"$434,437","$382,457",88%,"$51,980",12%,2019.csv,2019
357,Killing Sarai,"$425,332","$425,332",100%,-,-,2019.csv,2019
358,Ben-Hur 2019 Re-release,"$422,622","$422,622",100%,-,-,2019.csv,2019
359,The Cold Blue,"$420,177","$420,177",100%,-,-,2019.csv,2019
360,The Reliant,"$408,747","$408,747",100%,-,-,2019.csv,2019
361,"Hello, Dolly!","$400,881","$400,881",100%,-,-,2019.csv,2019
362,The Wedding Guest,"$386,166","$386,166",100%,-,-,2019.csv,2019
363,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",100%,-,-,2019.csv,2019
364,The Metropolitan Opera HD Live: Puccini: Turandot,"$375,295",-,-,"$375,295",100%,2019.csv,2019
365,Ghostbusters 2019 Re-release,"$369,612","$369,612",100%,-,-,2019.csv,2019
366,INXS: Baby Live at Wembly Stadium,"$366,425","$161,750",44.1%,"$204,675",55.9%,2019.csv,2019
367,First Love,"$366,247","$218,329",59.6%,"$147,918",40.4%,2019.csv,2019
368,Lords of Chaos,"$365,353","$253,184",69.3%,"$112,169",30.7%,2019.csv,2019
369,Clemency,"$364,716","$364,716",100%,-,-,2019.csv,2019
370,K-12,"$359,377","$303,230",84.4%,"$56,147",15.6%,2019.csv,2019
371,The Shawshank Redemption 2019 Re-release,"$358,507","$358,507",100%,-,-,2019.csv,2019
372,The Tomorrow Man,"$354,103","$354,103",100%,-,-,2019.csv,2019
373,Star Trek 2019 Re-release,"$346,243","$346,243",100%,-,-,2019.csv,2019
374,Triple Threat,"$345,900","$76,289",22.1%,"$269,611",77.9%,2019.csv,2019
375,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632","$271,489",80.2%,"$67,143",19.8%,2019.csv,2019
376,Diane,"$336,166","$336,166",100%,-,-,2019.csv,2019
377,Freaks,"$335,050","$276,591",82.6%,"$58,459",17.4%,2019.csv,2019
378,Anthropocene: The Human Epoch,"$334,162","$104,806",31.4%,"$229,356",68.6%,2019.csv,2019
379,A Silent Voice: The Movie 2019 Re-release,"$333,984","$333,984",100%,-,-,2019.csv,2019
380,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",100%,-,-,2019.csv,2019
381,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%,2019.csv,2019
382,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%,2019.csv,2019
383,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%,2019.csv,2019
384,Cunningham,"$320,293","$265,102",82.8%,"$55,191",17.2%,2019.csv,2019
385,Meeting Gorbachev,"$319,230","$251,837",78.9%,"$67,393",21.1%,2019.csv,2019
386,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-,2019.csv,2019
387,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%,2019.csv,2019
388,Josh Groban Bridges from Madison Square Garden,"$315,173","$315,173",100%,-,-,2019.csv,2019
389,Bolshoi Ballet: The Sleeping Beauty,"$311,368","$311,368",100%,-,-,2019.csv,2019
390,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%,2019.csv,2019
391,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%,2019.csv,2019
392,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%,2019.csv,2019
393,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%,2019.csv,2019
394,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-,2019.csv,2019
395,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%,2019.csv,2019
396,"A White, White Day","$288,708",-,-,"$288,708",100%,2019.csv,2019
397,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-,2019.csv,2019
398,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-,2019.csv,2019
399,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-,2019.csv,2019
400,Octaman,"$280,710","$280,710",100%,-,-,2019.csv,2019
401,Forrest Gump 2019 Re-release,"$280,266","$203,088",72.5%,"$77,178",27.5%,2019.csv,2019
402,See You Soon,"$277,126",-,-,"$277,126",100%,2019.csv,2019
403,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-,2019.csv,2019
404,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%,2019.csv,2019
405,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%,2019.csv,2019
406,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-,2019.csv,2019
407,Out of Liberty,"$265,279","$265,279",100%,-,-,2019.csv,2019
408,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%,2019.csv,2019
409,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%,2019.csv,2019
410,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-,2019.csv,2019
411,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%,2019.csv,2019
412,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-,2019.csv,2019
413,Canal Street,"$251,917","$251,917",100%,-,-,2019.csv,2019
414,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-,2019.csv,2019
415,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-,2019.csv,2019
416,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%,2019.csv,2019
417,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%,2019.csv,2019
418,Play the Flute,"$241,251","$241,251",100%,-,-,2019.csv,2019
419,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-,2019.csv,2019
420,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%,2019.csv,2019
421,Varda by Agnès,"$233,809","$160,765",68.8%,"$73,044",31.2%,2019.csv,2019
422,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-,2019.csv,2019
423,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-,2019.csv,2019
424,Ophelia,"$229,405","$50,722",22.1%,"$178,683",77.9%,2019.csv,2019
425,Mine 9,"$226,421","$226,421",100%,-,-,2019.csv,2019
426,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-,2019.csv,2019
427,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%,2019.csv,2019
428,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-,2019.csv,2019
429,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-,2019.csv,2019
430,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-,2019.csv,2019
431,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-,2019.csv,2019
432,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%,2019.csv,2019
433,"Faith, Hope & Love","$210,091","$210,091",100%,-,-,2019.csv,2019
434,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-,2019.csv,2019
435,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%,2019.csv,2019
436,The Iron Orchard,"$204,881","$204,881",100%,-,-,2019.csv,2019
437,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%,2019.csv,2019
438,Hesburgh,"$204,709","$204,709",100%,-,-,2019.csv,2019
439,Blink of an Eye,"$201,874","$201,874",100%,-,-,2019.csv,2019
440,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%,2019.csv,2019
441,Little Joe,"$196,960","$23,862",12.1%,"$173,098",87.9%,2019.csv,2019
442,Buñuel in the Labyrinth of the Turtles,"$196,456","$36,205",18.4%,"$160,251",81.6%,2019.csv,2019
443,Family,"$194,601","$194,601",100%,-,-,2019.csv,2019
444,Mr. Klein,"$193,028","$193,028",100%,-,-,2019.csv,2019
445,The Divine Plan,"$190,031","$190,031",100%,-,-,2019.csv,2019
446,To Dust,"$184,495","$184,495",100%,-,-,2019.csv,2019
447,The River and the Wall,"$183,602","$183,602",100%,-,-,2019.csv,2019
448,Giant Little Ones,"$181,507","$181,507",100%,-,-,2019.csv,2019
449,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%,2019.csv,2019
450,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%,2019.csv,2019
451,Modest Heroes,"$178,027","$178,027",100%,-,-,2019.csv,2019
452,The Warrior Queen of Jhansi,"$177,289","$177,289",100%,-,-,2019.csv,2019
453,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-,2019.csv,2019
454,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%,2019.csv,2019
455,Bolshoi Ballet: The Golden Age,"$171,916","$171,916",100%,-,-,2019.csv,2019
456,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%,2019.csv,2019
457,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%,2019.csv,2019
458,Britt-Marie Was Here,"$168,862","$36,549",21.6%,"$132,313",78.4%,2019.csv,2019
459,Bright Ones,"$165,627","$165,627",100%,-,-,2019.csv,2019
460,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%,2019.csv,2019
461,Halston,"$163,446","$151,991",93%,"$11,455",7%,2019.csv,2019
462,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-,2019.csv,2019
463,Money,"$155,732","$155,732",100%,-,-,2019.csv,2019
464,Before You Know It,"$151,507","$151,507",100%,-,-,2019.csv,2019
465,Jay Myself,"$151,331","$151,331",100%,-,-,2019.csv,2019
466,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-,2019.csv,2019
467,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%,2019.csv,2019
468,The Kingmaker,"$148,611","$122,587",82.5%,"$26,024",17.5%,2019.csv,2019
469,Trial by Fire,"$148,504","$148,504",100%,-,-,2019.csv,2019
470,War and Peace,"$148,503","$148,503",100%,-,-,2019.csv,2019
471,Driven,"$147,172",-,-,"$147,172",100%,2019.csv,2019
472,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%,2019.csv,2019
473,Framing John DeLorean,"$145,625","$145,625",100%,-,-,2019.csv,2019
474,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-,2019.csv,2019
475,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-,2019.csv,2019
476,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-,2019.csv,2019
477,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-,2019.csv,2019
478,Who Will Write Our History,"$138,039","$138,039",100%,-,-,2019.csv,2019
479,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-,2019.csv,2019
480,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%,2019.csv,2019
481,The Other Story,"$135,191","$135,191",100%,-,-,2019.csv,2019
482,Made in Abyss: Journey's Dawn,"$134,194","$134,047",99.9%,$147,0.1%,2019.csv,2019
483,Be Natural: The Untold Story of Alice Guy-Blaché,"$133,183","$115,265",86.5%,"$17,918",13.5%,2019.csv,2019
484,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%,2019.csv,2019
485,Mister America,"$130,897","$130,897",100%,-,-,2019.csv,2019
486,Little Monsters,"$130,381",-,-,"$130,381",100%,2019.csv,2019
487,Section 375,"$129,916",-,-,"$129,916",100%,2019.csv,2019
488,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-,2019.csv,2019
489,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%,2019.csv,2019
490,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-,2019.csv,2019
491,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-,2019.csv,2019
492,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%,2019.csv,2019
493,A Tuba to Cuba,"$121,772","$121,772",100%,-,-,2019.csv,2019
494,Avant qu'on explose,"$119,894","$119,894",100%,-,-,2019.csv,2019
495,Skin,"$116,863",-,-,"$116,863",100%,2019.csv,2019
496,Mob Psycho 100,"$115,766","$115,766",100%,-,-,2019.csv,2019
497,The Woman Who Loves Giraffes,"$113,858","$113,858",100%,-,-,2019.csv,2019
498,Police Story,"$113,164","$113,164",100%,-,-,2019.csv,2019
499,Babylon,"$109,749","$109,749",100%,-,-,2019.csv,2019
500,The Brink,"$106,057","$106,057",100%,-,-,2019.csv,2019
501,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-,2019.csv,2019
502,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%,2019.csv,2019
503,Those Who Remained,"$101,737",-,-,"$101,737",100%,2019.csv,2019
504,QT8: The First Eight,"$100,396","$51,896",51.7%,"$48,500",48.3%,2019.csv,2019
505,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%,2019.csv,2019
506,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%,2019.csv,2019
507,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%,2019.csv,2019
508,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%,2019.csv,2019
509,Saint Judy,"$96,212","$78,935",82%,"$17,277",18%,2019.csv,2019
510,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-,2019.csv,2019
511,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%,2019.csv,2019
512,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%,2019.csv,2019
513,Mapplethorpe,"$91,002","$91,002",100%,-,-,2019.csv,2019
514,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-,2019.csv,2019
515,The Lumber Baron,"$88,336","$88,336",100%,-,-,2019.csv,2019
516,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-,2019.csv,2019
517,ECCO,"$86,858","$86,858",100%,-,-,2019.csv,2019
518,Vault,"$86,741","$29,491",34%,"$57,250",66%,2019.csv,2019
519,Skid Row Marathon,"$84,997","$84,997",100%,-,-,2019.csv,2019
520,Woodstock,"$84,440","$84,440",100%,-,-,2019.csv,2019
521,Prey,"$82,258",-,-,"$82,258",100%,2019.csv,2019
522,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%,2019.csv,2019
523,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%,2019.csv,2019
524,Ms. Purple,"$80,657","$80,657",100%,-,-,2019.csv,2019
525,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%,2019.csv,2019
526,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%,2019.csv,2019
527,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-,2019.csv,2019
528,Fast Colour,"$76,916","$76,916",100%,-,-,2019.csv,2019
529,"Love, Antosha","$75,308","$50,168",66.6%,"$25,140",33.4%,2019.csv,2019
530,5B,"$72,968","$72,968",100%,-,-,2019.csv,2019
531,Greener Grass,"$71,838","$51,456",71.6%,"$20,382",28.4%,2019.csv,2019
532,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-,2019.csv,2019
533,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%,2019.csv,2019
534,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%,2019.csv,2019
535,Being Frank,"$67,343","$67,343",100%,-,-,2019.csv,2019
536,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%,2019.csv,2019
537,The Mountain,"$61,035","$61,035",100%,-,-,2019.csv,2019
538,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-,2019.csv,2019
539,The Disappearance of My Mother,"$56,821","$24,951",43.9%,"$31,870",56.1%,2019.csv,2019
540,Notebook,"$56,166",-,-,"$56,166",100%,2019.csv,2019
541,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%,2019.csv,2019
542,Clinton Road,"$50,400","$50,400",100%,-,-,2019.csv,2019
543,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%,2019.csv,2019
544,Free Trip to Egypt,"$49,693","$49,693",100%,-,-,2019.csv,2019
545,The Bounty Killer,"$48,815","$48,815",100%,-,-,2019.csv,2019
546,The Queen,"$47,818","$47,818",100%,-,-,2019.csv,2019
547,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%,2019.csv,2019
548,High on the Hog,"$45,696","$45,696",100%,-,-,2019.csv,2019
549,The Proposal,"$45,149","$45,149",100%,-,-,2019.csv,2019
550,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%,2019.csv,2019
551,What Is Democracy?,"$44,536","$44,536",100%,-,-,2019.csv,2019
552,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-,2019.csv,2019
553,Carmine Street Guitars,"$44,253","$44,253",100%,-,-,2019.csv,2019
554,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%,2019.csv,2019
555,Union,"$41,656","$41,656",100%,-,-,2019.csv,2019
556,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%,2019.csv,2019
557,Aniara,"$40,124","$40,124",100%,-,-,2019.csv,2019
558,Zilla and Zoe,"$39,003","$39,003",100%,-,-,2019.csv,2019
559,Shed of the Dead,"$38,901","$38,901",100%,-,-,2019.csv,2019
560,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%,2019.csv,2019
561,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%,2019.csv,2019
562,What You Gonna Do When the World's on Fire?,"$37,195","$4,672",12.6%,"$32,523",87.4%,2019.csv,2019
563,The Quiet One,"$37,010","$37,010",100%,-,-,2019.csv,2019
564,The Death of Dick Long,"$36,856","$36,856",100%,-,-,2019.csv,2019
565,Our Time,"$36,240","$14,777",40.8%,"$21,463",59.2%,2019.csv,2019
566,Loro,"$35,613","$35,613",100%,-,-,2019.csv,2019
567,Ága,"$35,178","$35,178",100%,-,-,2019.csv,2019
568,Killer Unicorn,"$33,901","$33,901",100%,-,-,2019.csv,2019
569,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-,2019.csv,2019
570,An Acceptable Loss,"$32,427","$32,427",100%,-,-,2019.csv,2019
571,10E,"$32,413","$32,413",100%,-,-,2019.csv,2019
572,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%,2019.csv,2019
573,Desolation Center,"$32,016","$32,016",100%,-,-,2019.csv,2019
574,Gift,"$31,588","$31,588",100%,-,-,2019.csv,2019
575,The Cat Rescuers,"$31,540","$31,540",100%,-,-,2019.csv,2019
