Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
735,Patterns of Evidence: Moses Controversy,765361,765361,0,2019.csv,2019,100%,-
736,The Invisibles,764250,407373,356877,2018.csv,2018,53.3%,46.7%
737,Pick of the Litter,763688,578717,184971,2018.csv,2018,75.8%,24.2%
738,Museo,759626,148505,611121,2018.csv,2018,19.5%,80.5%
739,Boundaries,755977,703438,52539,2018.csv,2018,93.1%,6.9%
740,I Love Lucy: A Colorized Celebration,754323,754323,0,2019.csv,2019,100%,-
741,Ramen Shop,734347,88455,645892,2018.csv,2018,12%,88%
742,David Crosby: Remember My Name,732793,732793,0,2019.csv,2019,100%,-
743,The Polar Express 2018 Re-release,731018,731018,0,2018.csv,2018,100%,-
744,Slaughterhouse Rulez,730762,4665,726097,2018.csv,2018,0.6%,99.4%
745,Liz and the Blue Bird,726454,63204,663250,2018.csv,2018,8.7%,91.3%
746,Aquarela,725269,307346,417923,2019.csv,2019,42.4%,57.6%
747,Where's My Roy Cohn?,722603,705274,17329,2019.csv,2019,97.6%,2.4%
748,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,707875,707875,0,2018.csv,2018,100%,-
749,Itzhak,704968,607290,97678,2018.csv,2018,86.1%,13.9%
750,Blaze,704955,704955,0,2018.csv,2018,100%,-
751,Frankie,695680,171781,523899,2019.csv,2019,24.7%,75.3%
752,The Least of These: The Graham Staines Story,695164,607015,88149,2019.csv,2019,87.3%,12.7%
753,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,695130,695130,0,2018.csv,2018,100%,-
754,In the Aisles,694586,28394,666192,2018.csv,2018,4.1%,95.9%
755,Raise Hell: The Life & Times of Molly Ivins,694410,694410,0,2019.csv,2019,100%,-
756,Romeo Akbar Walter,688719,236299,452420,2019.csv,2019,34.3%,65.7%
757,Bethany Hamilton: Unstoppable,684078,590671,93407,2019.csv,2019,86.3%,13.7%
758,The Trump Prophecy,671198,671198,0,2018.csv,2018,100%,-
759,Anna and the Apocalypse,670430,545597,124833,2018.csv,2018,81.4%,18.6%
760,Stockholm,665527,292590,372937,2019.csv,2019,44%,56%
761,Dragon Ball Z: Broly - The Legendary Super Saiyan,658982,658982,0,2018.csv,2018,100%,-
762,Ponyo 2018 Re-release,653072,653072,0,2018.csv,2018,100%,-
763,The Public,644740,573503,71237,2019.csv,2019,89%,11%
764,Seberg,640804,434702,206102,2019.csv,2019,67.8%,32.2%
765,Batti Gul Meter Chalu,635869,249539,386330,2018.csv,2018,39.2%,60.8%
766,Asako I & II,627102,25559,601543,2019.csv,2019,4.1%,95.9%
767,"Love, Gilda",626318,626318,0,2018.csv,2018,100%,-
768,The Sound of Music 2018 Re-release,624392,616171,8221,2018.csv,2018,98.7%,1.3%
769,Give Me Liberty,624152,242734,381418,2019.csv,2019,38.9%,61.1%
770,Nancy Drew and the Hidden Staircase,623088,623088,0,2019.csv,2019,100%,-
771,Dirty Dancing 2019 Re-release,622968,622968,0,2019.csv,2019,100%,-
772,Die Hard 30th Anniversary Release,620525,510241,110284,2018.csv,2018,82.2%,17.8%
773,The Transformers,619597,619597,0,2018.csv,2018,100%,-
774,Synonyms,615592,206003,409589,2019.csv,2019,33.5%,66.5%
775,Killerman,614366,291477,322889,2019.csv,2019,47.4%,52.6%
776,The Muppet Movie 2019 Re-release,610475,610475,0,2019.csv,2019,100%,-
777,The Reports on Sarah and Saleem,607206,117479,489727,2018.csv,2018,19.3%,80.7%
778,The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,605764,605764,0,2018.csv,2018,100%,-
779,The Golden Glove,604147,6160,597987,2019.csv,2019,1%,99%
780,"DCI 2019: Big, Loud & Live 16",603320,603320,0,2018.csv,2018,100%,-
781,Oh Lucy!,600145,375391,224754,2018.csv,2018,62.6%,37.4%
782,The Big Lebowski 2018 Re-release,592832,582585,10247,2018.csv,2018,98.3%,1.7%
783,To Kill a Mockingbird 2019 Re-release,592237,592237,0,2019.csv,2019,100%,-
784,The Cure: Anniversary 1978-2018 Live in Hyde Park,591904,378405,213499,2019.csv,2019,63.9%,36.1%
785,The Wonderland,591857,50876,540981,2019.csv,2019,8.6%,91.4%
786,Bilal: A New Breed of Hero 2018 Re-release,576805,490973,85832,2018.csv,2018,85.1%,14.9%
787,The Painted Bird,573850,0,573850,2019.csv,2019,-,100%
788,The Cat Returns 2018 Re-release,563718,563718,0,2018.csv,2018,100%,-
789,Beetlejuice 2018 Re-release,562613,512947,49666,2018.csv,2018,91.2%,8.8%
790,My Fair Lady 2019 Re-release,560711,560711,0,2019.csv,2019,100%,-
791,Fiddler: A Miracle of Miracles,558816,549386,9430,2019.csv,2019,98.3%,1.7%
792,Kusama: Infinity,558052,360931,197121,2018.csv,2018,64.7%,35.3%
793,Castle in the Sky 2018 Re-release,557541,523664,33877,2018.csv,2018,93.9%,6.1%
794,Rojo,557092,94757,462335,2018.csv,2018,17%,83%
795,Dhadak,549628,0,549628,2018.csv,2018,-,100%
796,Light of My Life,547161,20056,527105,2019.csv,2019,3.7%,96.3%
797,My Generation,546183,0,546183,2018.csv,2018,-,100%
798,"DCI 2019: Big, Loud & Live 16",546060,546060,0,2019.csv,2019,100%,-
799,He's Out There,544674,0,544674,2018.csv,2018,-,100%
800,The Day Shall Come,543993,26972,517021,2019.csv,2019,5%,95%
801,Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,540707,540707,0,2018.csv,2018,100%,-
802,Grateful Dead Meet-Up 2019,537153,537153,0,2019.csv,2019,100%,-
803,CatVideoFest,536566,470923,65643,2019.csv,2019,87.8%,12.2%
804,Karwaan,536525,182009,354516,2018.csv,2018,33.9%,66.1%
805,What They Had,533579,260136,273443,2018.csv,2018,48.8%,51.2%
806,Margaret Atwood: Live in Cinemas,529285,93690,435595,2019.csv,2019,17.7%,82.3%
807,The Audience 2019 Re-release,523432,106529,416903,2019.csv,2019,20.4%,79.6%
808,The Spy Behind Home Plate,519525,519525,0,2019.csv,2019,100%,-
809,Wild Nights with Emily,519487,519487,0,2019.csv,2019,100%,-
810,Grave of the Fireflies,516962,516962,0,2018.csv,2018,100%,-
811,The Sandlot 2018 Re-release,516130,516130,0,2018.csv,2018,100%,-
812,Bullitt 2018 Re-release,511350,511350,0,2018.csv,2018,100%,-
813,Monsters and Men,510967,500101,10866,2018.csv,2018,97.9%,2.1%
814,Bolshoi Ballet: Carmen Suite/Petrushka,510628,207523,303105,2019.csv,2019,40.6%,59.4%
815,Saving Private Ryan 2019 Re-release,508694,508694,0,2019.csv,2019,100%,-
816,Have a Nice Day,504003,79393,424610,2018.csv,2018,15.8%,84.2%
817,Whisper of the Heart 2019 Re-release,498156,498156,0,2019.csv,2019,100%,-
818,Nausicaä of the Valley of the Wind 2019 Re-release,495770,495770,0,2019.csv,2019,100%,-
819,Monty Python's Life of Brian 2019 Re-release,493822,161507,332315,2019.csv,2019,32.7%,67.3%
820,London Fields,487420,252676,234744,2018.csv,2018,51.8%,48.2%
821,The Russian Five,485049,485049,0,2019.csv,2019,100%,-
822,Lawrence of Arabia 2019 Re-release,482281,482281,0,2019.csv,2019,100%,-
823,Liam Gallagher: As It Was,477009,0,477009,2019.csv,2019,-,100%
824,Matangi/Maya/M.I.A,469489,230808,238681,2018.csv,2018,49.2%,50.8%
825,Hail Satan?,467232,424284,42948,2019.csv,2019,90.8%,9.2%
826,Puffs: Filmed Live Off Broadway,464483,464483,0,2018.csv,2018,100%,-
827,MFKZ,461724,229423,232301,2018.csv,2018,49.7%,50.3%
828,Scotty and the Secret History of Hollywood,461689,461689,0,2018.csv,2018,100%,-
829,Christmas Jars,459462,459462,0,2019.csv,2019,100%,-
830,South Pacific 2018 Re-release,458000,458000,0,2018.csv,2018,100%,-
831,The Gospel According to André,454550,400713,53837,2018.csv,2018,88.2%,11.8%
